id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 221905,"Кофе Carte Noire Original растворимый сублимированный, 75г",399,469,CARRARO,https://online.metro-cc.ru/products/art_426443
 226338,"Кофе Jardin Dessert Сup молотый натуральный жареный, 250г",,419,CARTE NOIRE,https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-dessert-sup-250g
 119135,"Кофе Egoiste Private растворимый, 100г",989,1 129,JARDIN,https://online.metro-cc.ru/products/100g-kofe-egoiste-private-rastvorimyy
 221902,"Кофе в капсулах Carte Noire Colombia Origin для кофемашин Nespresso 10шт, 52г",,469,CARRARO,https://online.metro-cc.ru/products/10shth52g-kofe-carte-noire-colombia-origin-v-kapsulah
 228242,"Кофе в капсулах Verle Classic Mousse для кофемашин Nespresso 10шт, 55г",,359,ЖОКЕЙ,https://online.metro-cc.ru/products/kofe-verle-classic-mousse-v-kapsulah-55g-x-10sht-55g
 218854,"Кофе Fresco Arabica solo молотый для чашек и турок, 250г",,349,JACOBS,https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-molotyy-dlya-chashek-i-turok-250g
 221903,"Кофе Jardin Columbia Supremo молотый, 250г",,459,CARRARO,https://online.metro-cc.ru/products/250g-jardin-kolumbiya-supremo-mol
 218711,"Кофе Жокей Импер растворимый, 95г",199,239,POETTI,https://online.metro-cc.ru/products/art_599055
 226467,"Кофе Жокей Gold растворимый, 95г",199,279,ALTA ROMA,https://online.metro-cc.ru/products/95g-kofe-zhokey-gold-rastvorimyy-stb
 228419,"Кофе Черная Карта молотый жареный, 250г",259,309,VERLE,https://online.metro-cc.ru/products/250g-kofe-chernaya-karta-molotyy-zharenyy
 133441,"Напиток кофейный MacCoffee Latte карамель порционный (22г x 20шт), 440г",,299,RIOBA,https://online.metro-cc.ru/products/20shth22g-kofe-maccoffee-latte-karamel-portsionnyy
 599055,"Кофе Monarch Milligrano растворимый с молотым, 90г",299,389,ЖОКЕЙ,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-90g
 420359,"Кофе Jacobs Brazilian Selection растворимый, 180г",549,589,ЖОКЕЙ,https://online.metro-cc.ru/products/180g-kofe-jacobs-brazilian-selection-rastvorimyy
 226350,"Кофе Carte Noire Original молотый, 230г",449,529,JACOBS,https://online.metro-cc.ru/products/230g-kofe-carte-noire-original-molotyy
 228235,"Кофе в капсулах Julius Meinl Espresso Crema Bio для кофемашин Nespresso 10шт, 56г",,619,JARDIN,https://online.metro-cc.ru/products/julius-meinl-espresso-krema-10sht
 229159,"Кофе Жокей По-восточному молотый, 450г",,649,TCHIBO,https://online.metro-cc.ru/products/450g-zhokej-po-vostochnomu-mol
 226466,"Кофе Черная Карта Brasilia Exclusive растворимый сублимированный, 95г",249,293,ALTA ROMA,https://online.metro-cc.ru/products/chernaya-karta-sublimirovannyj-brasilia-exclusive-95g
 388183,"Кофе Monarch Milligrano растворимый с добавлением молотого, 120г",,439,DALLMAYR,https://online.metro-cc.ru/products/120g-kofe-monarch-miligrano-rastv-c-dob-molotogo
 119134,"Кофе Jardin Colombia Medellin растворимый, 240г",,869,JARDIN,https://online.metro-cc.ru/products/240g-kofe-jardin-colombia-medellin-rastvorimyy
 226346,"Кофе Жокей крепкий растворимый 3в1 (12г x 50шт), 600г",419,439,LEBO,https://online.metro-cc.ru/products/50shth12g-kofe-zhokey-krepkiy-3v1-rastvorimyy
 227078,"Кофе Nescafe Classic растворимый, 190г",,509,MONARCH,https://online.metro-cc.ru/products/190g-kofe-nescafe-classic-rastvorimyy-stekl-banka
 231666,"Кофе Жокей Триумф растворимый, 75г",169,199,MONARCH,https://online.metro-cc.ru/products/75g-kofe-zhokey-triumf-rastvorimyy
