id,Название,Цена со скидкой/Полная цена если скидки нет,Цена без скидки/Пусто если скидки нет,Бренд,Ссылка
 636528,"Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг",1 839,,EGOISTE,https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g
 218719,"Кофе Origo Imperial Wiener Mischung в зернах, 1кг",2 899,,POETTI,https://online.metro-cc.ru/products/art_44438
 505974,"Кофе Lavazza Expert Crema-Aroma в зернах, 1кг",2 359,,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-cremaaroma-v-zernah
 220012,"Кофе Julius Meinl Юбилейный классическая коллекция в зернах, 1кг",1 999,,JULIUS MEINL,https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-1000g
 102232,"Кофе Julius Meinl Юбилейный в зернах, 250г",549,,AMBASSADOR,https://online.metro-cc.ru/products/julius-meinl-yubilejnyj-250g
 112993,"Кофе Egoiste Noir молотый, 250г",469,569,EGOISTE,https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-250g
 32456,"Кофе Ambassador Blue Label в зернах, 1кг",1 399,1 699,LAVAZZA,https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g
 456926,"Кофе Черная Карта в зернах, 1кг",919,1 149,DALLMAYR,https://online.metro-cc.ru/products/chernaya-karta-paketirovannyj-1kg
 110546,"Кофе Московская кофейня на паяхъ Арабика растворимый сублимированный, 95г",359,559,BUSHIDO,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-arabika-95g
 619918,"Кофе Monarch Original растворимый, 190г",579,,NESCAFE,https://online.metro-cc.ru/products/190g-kofe-monarch-original-rastvorimyy-st
 415027,"Напиток кофейный Nescafe Mild 3в1 20 пакетиков, 290г",259,319,NESCAFE,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-myagkij
 72533,"Кофе Egoiste Espresso в зернах, 1кг",2 469,,COFFESSO,https://online.metro-cc.ru/products/egoiste-espresso-1000g
 107074,"Кофе Jardin Guatemala Atitlan натуральный растворимый, 95г",219,297,CARRARO,https://online.metro-cc.ru/products/jardin-guatemala-atitlan-naturalnyj-95-g
 226465,"Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г",1 199,1 329,ALTA ROMA,https://online.metro-cc.ru/products/coffesso-nabor-v-kapsulah-50-sht-h-5-g
 654820,"Кофе Dallmayr Crema d'Oro натуральный жареный в зернах, 1кг",2 199,,JULIUS MEINL,https://online.metro-cc.ru/products/dallmayr-v-zernah-naturalnyj-zharenyj-crema-d-039oro-1kg
 123742,"Кофе Jacobs Barista Crema в зернах, 800г",1 199,1 439,NESCAFE,https://online.metro-cc.ru/products/kofe-jacobs-barista-crema-zernovoy-800g
 590985,"Кофе Московская кофейня на паяхъ Суаре растворимый сублимированный, 95г",279,409,EGOISTE,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-suare-95g
 227078,"Кофе Egoiste Truffle молотый, 250г",449,659,MONARCH,https://online.metro-cc.ru/products/250g-kofe-egoiste-truffle-molotyy
 134491,"Кофе Julius Meinl Президент классическая коллекция в зернах, 1кг",2 029,,ARO,https://online.metro-cc.ru/products/julius-meinl-prezident-1000g
 208703,"Кофе в капсулах Jardin Vanillia Rich&Sweet для кофемашин Nespresso 10шт, 50г",279,409,LAVAZZA,https://online.metro-cc.ru/products/10h5g-jardin-vanillia
 224846,"Кофе MacCoffee Capuccino Di torino растворимый (25.5г x 20шт), 510г",399,489,MACCOFFEE,https://online.metro-cc.ru/products/20shtx255g-kofe-maccoffee-cappuccino-di-torino-rastv
 125676,"Кофе Jardin Americano Crema в зернах, 1кг",1 399,1 599,LEBO CLASSIC,https://online.metro-cc.ru/products/jardin-americano-crema-1000-g
 133725,"Кофе Julius Meinl Эспрессо в зернах, 500г",1 549,,NESCAFE,https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-grande-espresso-500g
 226397,"Кофе в капсулах Jardin Andante Strong&Velvet для кофемашин Nespresso 10шт, 50г",279,409,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ,https://online.metro-cc.ru/products/10h5g-jardin-andante
 469367,"aro Кофе 3в1 классик (100 пакетиков x 16г), 1.6кг",759,,JARDIN,https://online.metro-cc.ru/products/aro-3v1-klassik-100h16g
 469362,"Кофе Jardin Colombia Medellin натуральный растворимый сублимированный, 95г",219,297,JARDIN,https://online.metro-cc.ru/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g
 59002,"Кофе Nescafe Gold растворимый, 95г",279,329,BUSHIDO,https://online.metro-cc.ru/products/nescafe-gold-steklo-95g-415027
 224737,"Кофе Egoiste Noir растворимый сублимированный, 100г",469,669,MONARCH,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g
