id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 218717,"Кофе Nescafe Gold растворимый сублимированный, 500г",,1 829,POETTI,https://online.metro-cc.ru/products/nescafe-sublimirovannyj-gold-500g
 234805,"Кофе в капсулах L’or Espresso Ristretto для кофемашин Nespresso 10шт, 52г",,529,ЖОКЕЙ,https://online.metro-cc.ru/products/l-rsquoor-ristretto-52-g
 426443,"Кофе Illy темная обжарка в зернах, 250г",1 090,1 499,CARTE NOIRE,https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g
 119131,"Кофе Poetti Leggenda Oro в зернах, 1кг",,2 089,ЖОКЕЙ,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-oro-v-zernah
 215436,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г",,2 849,LEBO CLASSIC,https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g
 227971,"Кофе Monarch Brazilian Selection растворимый, 180г",,1 029,FRESCO,https://online.metro-cc.ru/products/kofe-monarch-brazilian-selection-rastvorimyy-180g
 415027,"Кофе Kimbo Integrity Bio в зернах, 1кг",,2 349,NESCAFE,https://online.metro-cc.ru/products/kimbo-integrity-bio-1-kg
 448263,"Кофе Jacobs Crema в зернах, 1кг",1 249,1 489,JACOBS,https://online.metro-cc.ru/products/jacobs-crema-zernovoj-1kg
 469154,"Кофе Nescafe Gold растворимый, 95г",279,329,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/nescafe-gold-steklo-95g-415027
 218638,"Кофе Julius Meinl Президент классическая коллекция в зернах, 250г",409,499,NESCAFE,https://online.metro-cc.ru/products/julius-meinl-president-250g
 218856,"Кофе Nescafe Gold Barista растворимый, 85г",279,329,CARTE NOIRE,https://online.metro-cc.ru/products/nescafe-gold-v-rastvorimom-barista-85g
 76036,"Напиток кофейный MacCoffee The Original coffee mix 3 в 1 растворимый 100 пакетиков, 2кг",,1 639,JACOBS,https://online.metro-cc.ru/products/maccoffee-napitok-kofejnyj-porcionnyj-the-original-coffee-mix-3v1-100-20g
 213623,"Напиток кофейный Jacobs 3в1 Крепкий 50 пакетиков, 675г",589,779,JULIUS MEINL,https://online.metro-cc.ru/products/napitok-kofeynyy-jacobs-3v1-krepkiy-50x135g
 226340,"Кофе в капсулах Jacobs Espresso №7 Classico для кофемашин Nespresso 10шт, 52г",279,329,LEBO,https://online.metro-cc.ru/products/jacobs-espresso-7-classico-10sht
 206309,"Кофе Alta Roma Caffe Latte в зернах, 1кг",919,1 359,ORIGO,https://online.metro-cc.ru/products/kofe-alta-roma-caffe-latte-v-zernakh-1kg
 420359,"Кофе в капсулах Absolut Drive Americano Original для кофемашин Dolce Gusto 16шт, 128г",359,429,ЖОКЕЙ,https://online.metro-cc.ru/products/16shth8g-kofe-absolut-amerikano-kapsuly-dg
 227302,"Кофе Jacobs Monarch Классический в зернах, 800г",989,1 159,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/jacobs-monarch-klassicheskij-v-zernah-800-g
 201556,"Кофе Carte Noire Original растворимый сублимированный, 150г",,1 190,CARTE NOIRE,https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-150g
 218855,"RIOBA Кофе в капсулах Dolce Gusto Latte Macciato 8 порций 16 капсул, 192г",,419,CARTE NOIRE,https://online.metro-cc.ru/products/192g-kofe-v-kaps-rioba-dolce-gusto-latte-macc
 226505,"RIOBA Кофе в капсулах Dolce Gusto Capuccino 8 порций 16 капсул, 192г",,419,MACCOFFEE,https://online.metro-cc.ru/products/192g-kofe-v-kaps-rioba-dolce-gusto-cappuccino
 221904,"Кофе Poetti Daily Mokka молотый, 250г",,349,CARRARO,https://online.metro-cc.ru/products/250g-kofe-poetti-daily-mokka-molotyy
 229730,"Кофе Monarch Original растворимый, 130г",,399,MONARCH,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-130g
 88215,"Кофе Jacobs Millicano молотый в растворимом, 75г",229,239,JULIUS MEINL,https://online.metro-cc.ru/products/jacobs-monarch-molotyj-millicano-75g
 599055,"Кофе Kimbo Superior Blend натуральный жареный в зернах, 1кг",,2 109,ЖОКЕЙ,https://online.metro-cc.ru/products/kimbo-v-zernah-naturalnyj-zharenyj-superior-blend-1kg
 616531,"Кофе Poetti Leggenda Ruby в зернах, 1кг",,2 189,ЖОКЕЙ,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-ruby-v-zernah
 228234,"Кофе Origo Professional Master эспрессо в зернах, 1кг",,2 029,JARDIN,https://online.metro-cc.ru/products/1kg-kofe-origo-professional-master-espresso-zerno
 611604,"Кофе Poetti Leggenda Espresso в зернах, 1кг",,2 189,ILLY,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-espresso-v-zernah
 218716,"Кофе Monarch Brazilian Selection в зернах, 800г",,1 569,POETTI,https://online.metro-cc.ru/products/800g-kofe-monarch-brazilian-selection-zerno
 228242,"Кофе Origo Professional Star эспрессо в зернах, 1кг",,2 169,ЖОКЕЙ,https://online.metro-cc.ru/products/1kg-kofe-origo-professional-star-espresso-zerno
 133441,"Кофе Жокей Традиционный в зернах, 900г",,1 079,RIOBA,https://online.metro-cc.ru/products/zhokej-tradicionnyj-900g
 228441,"Кофе Tchibo Gold мокка молотый, 250г",,309,VERLE,https://online.metro-cc.ru/products/250g-kofe-tchibo-gold-mokka-molotyy
 228241,"Кофе Jacobs Caramel с ароматом карамели растворимый, 95г",,509,ЖОКЕЙ,https://online.metro-cc.ru/products/95g-jacobs-s-arom-karameli
 122026,"Кофе Piazza del Caffe Crema Vellutata в зернах, 1кг",,1 159,JACOBS,https://online.metro-cc.ru/products/1kg-kofe-piazza-del-caffe-crema-vellutata-zerno
 581766,"Кофе Jardin Kenya Kilimanjaro растворимый сублимированный, 150г",,499,CARTE NOIRE,https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-sublimirovannyj-150g
 226467,"Кофе Жокей Триумф растворимый, 280г",,739,ALTA ROMA,https://online.metro-cc.ru/products/280g-kofe-zhokey-triumf-rastvorimyy
 228230,"Кофе Jacobs Brazilian Selection растворимый, 180г",,609,JARDIN,https://online.metro-cc.ru/products/180g-kofe-jacobs-brazilian-selection-rastvorimyy
 122743,"Кофе Jacobs Velour растворимый, 95г",,499,NESCAFE,https://online.metro-cc.ru/products/95g-kofe-jacobs-velour-rastvorimyy-poroshkoobraznyy-stb
 655857,"Кофе в капсулах Verle Classic Decaf для кофемашин Nespresso 10шт, 55г",,399,JACOBS,https://online.metro-cc.ru/products/kofe-verle-classic-decaf-v-kapsulah-55g-x-10sht-55g
 60434,"Кофе Poetti Leggenda Original в зернах, 1кг",,2 189,KIMBO,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-original-v-zernah
 218714,"Кофе Жокей Фаворит растворимый гранулированный, 75г",,251,POETTI,https://online.metro-cc.ru/products/zhokej-favorit-granulirovannyj150-g
 206308,"Кофе Jacobs Monarch растворимый сублимированный, 190г",,899,ORIGO,https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-190g
 226350,"Кофе Жокей триумф растворимый, 450г",,1 099,JACOBS,https://online.metro-cc.ru/products/450g-kofe-zhokey-triumf-rastvorimyy
 384385,"Кофе Jacobs Monarch растворимый сублимированный, 48г",,299,JACOBS,https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-475g
