id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 229954,"Кофе Verle Central America в дрип-пакетах 6шт, 66г",419,,NESCAFE,https://online.metro-cc.ru/products/6shth11g-kofe-verle-central-america-v-drip-paketah
 230302,"Кофе Egoiste Private растворимый, 100г",849,999,MONARCH,https://online.metro-cc.ru/products/100g-kofe-egoiste-private-rastvorimyy
 215059,"Кофе в капсулах Jacobs Espresso №10 Intenso для кофемашин Nespresso 10шт, 52г",279,329,JACOBS,https://online.metro-cc.ru/products/jacobs-espresso-10-intenso-10sht
 226345,"Кофе Origo Professional Star эспрессо в зернах, 1кг",2 169,,LEBO,https://online.metro-cc.ru/products/1kg-kofe-origo-professional-star-espresso-zerno
 50642,"Кофе Jardin Colombia Medellin растворимый, 240г",829,,ЖОКЕЙ,https://online.metro-cc.ru/products/240g-kofe-jardin-colombia-medellin-rastvorimyy
 228244,"Кофе Lebo Classic в зернах, 250г",339,469,ЖОКЕЙ,https://online.metro-cc.ru/products/250g-kofe-lebo-classic-v-zernah
 226522,"Кофе Carraro Cafe crema в зернах, 1кг",1 619,,MACCOFFEE,https://online.metro-cc.ru/products/1kg-kofe-carraro-caffe-crema-v-zernah
 636530,"Кофе Illy без кофеина в зернах, 250г",1 390,,EGOISTE,https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-zernovoy-250g
 206309,"Кофе Jacobs Monarch в зернах, 230г",319,329,ORIGO,https://online.metro-cc.ru/products/230g-kofe-jacobs-monarch-zerno
 147698,"Кофе Жокей Caffe Italiano молотый, 250г",349,,ARO,https://online.metro-cc.ru/products/art_50642
 226342,"Кофе Жокей классический в зернах, 900г",1 389,,LEBO,https://online.metro-cc.ru/products/art_624061
 226337,"Кофе Lebo Gold в зернах, 1кг",1 549,1 789,CARTE NOIRE,https://online.metro-cc.ru/products/1kg-kofe-lebo-gold-v-zernah
 426452,"Кофе Poetti Daily Mokka в зернах, 1кг",1 599,,JACOBS,https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-mokka-v-zernah
 463833,"Кофе Жокей Фаворит растворимый, 95г",249,,AMBASSADOR,https://online.metro-cc.ru/products/95g-kofe-zhokey-favorit-rastvorimyy-stb
 533474,"Напиток кофейный MacCoffee Strong 3в1 порционный (16г x 100шт), 1.6кг",1 429,,JARDIN,https://online.metro-cc.ru/products/5shth16g-kofe-maccoffee-3v1-strong-portsionnyy
 213623,"Кофе Egoiste Espresso в зернах, 250г",489,589,JULIUS MEINL,https://online.metro-cc.ru/products/egoiste-espresso-250g
 70170,"aro Кофе растворимый сублимированный, ст/б 80г",159,169,NESCAFE,https://online.metro-cc.ru/products/sublimirovannyj-aro-80g
 459854,"Кофе Bushido Specialty молотый, 227г",749,,JARDIN,https://online.metro-cc.ru/products/art_75973
